ID,Side,Treatment,CSA ,X cent,Y cent,Density,wX cent,wY cent,Theta,R1 ,R2 ,Imin ,Imax ,Ipm ,Zmin ,Zmax ,Zpol ,Feret Min ,Feret Max ,Feret Angle,Perimeter ,Max Thick 2D ,Mean Thick 2D ,SD Thick 2D 
MASK_Rock_1_R3_s1-3,Left,Rock,134.8508772,20.09929825,8.221473684,1.8,20.09929825,8.221473684,-0.81877193,5.386903509,10.7655614,4724.245526,857.9521053,12.01174561,439.9702281,158.7910789,493.2897719,11.54514035,22.41811404,0.76154386,59.00229825,6.866377193,6.138403509,0.885368421
MASK_Rock1_Left_J,Left,Rock,205.5849057,16.69533019,15.09163208,1.8,16.69533019,15.09163208,-0.887811321,7.689132075,12.25981132,9433.89567,2692.830962,34.1695,769.2445849,350.2807925,883.9342736,15.0869434,24.90546226,1.413584906,73.63177358,8.310896226,7.306632075,1.241311321
MASK_Rock_1_R3_s1-3,Right,Rock,115.1504425,22.04161947,9.241212389,1.8,22.04161947,9.24120354,-0.695017699,4.80420354,10.05572566,3474.253876,609.1732124,7.890026549,344.9212832,126.1038938,391.4875575,10.39963717,20.91552212,0.616575221,52.98689381,6.320433628,5.753557522,0.798955752
MASK_Rock1_Right_J,Right,Rock,174.1698113,18.25179245,13.56982075,1.8,18.25179245,13.56978302,-0.168990566,6.894556604,11.3825,7697.057764,1697.294802,28.97573585,675.607283,245.7644906,754.6590943,13.14143396,23.72113208,1.562971698,67.75723585,7.607754717,6.767669811,0.953622642
MASK_Rock_2_R3_s1-3,Left,Rock,134.7281553,19.33450485,11.81659223,1.8,19.33450485,11.81659223,1.196873786,6.200359223,9.997970874,4184.750845,1187.160223,19.34634951,418.0713883,190.3136796,489.8221359,12.91909709,20.59567961,1.918242718,60.2296699,6.757436893,5.941009709,0.980640777
MASK_Rock_2_R3_s1-3,Right,Rock,123.776699,16.61046602,14.45758252,1.8,16.61046602,14.45758252,1.19276699,5.291854369,9.228223301,3359.290398,835.4553107,17.78299029,363.2536117,155.7914369,428.5720971,11.41951456,19.50762136,1.95415534,53.62528155,6.77568932,6.143145631,0.852067961
MASK_Rock_3_R3_s1-3,Left,Rock,169.2016807,18.43359664,13.00672269,1.8,18.43359664,13.00671429,1.507890756,6.678596639,11.48041176,7048.636412,1667.280042,28.07730252,612.9985798,248.7524622,683.2590168,13.40603361,23.76743697,1.744327731,66.48454622,7.750386555,6.663831933,1.239722689
MASK_Rock_3_R3_s1-3,Right,Rock,147.3529412,18.51779832,10.93535294,1.8,18.51779832,10.93535294,-1.460983193,5.633109244,10.82630252,5377.235252,1027.938378,24.23952941,495.977958,182.3536891,552.0676134,11.31908403,22.31757983,1.345983193,60.45083193,7.448647059,6.502932773,1.114941176
MASK_Rock_4_R3_s1-3,Left,Rock,159.9242424,23.40906061,20.62084848,1.8,23.40906061,20.62084848,0.959742424,6.120568182,12.14168182,7204.710083,1362.698152,17.86632576,592.7575076,221.9685682,658.4595227,12.89135606,25.25222727,2.143848485,67.17797727,7.224621212,6.169810606,1.223090909
MASK_Rock_4_R3_s1-3,Right,Rock,144.5245902,27.89004098,14.64803279,1.8,27.89004098,14.64802459,1.061377049,5.785811475,11.31291803,5550.881311,1066.561713,18.33855738,490.2975,183.5091311,552.9567213,12.3057623,23.23044262,2.073877049,62.33159836,7.258606557,6.165836066,1.161319672
MASK_Rock6_Left,Left,Rock,254.7818182,24.59064545,16.30011818,1.8,24.59064545,16.30011818,-1.132318182,7.9654,15.05100909,16846.27378,3415.3262,34.80480909,1119.2885,428.5195455,1259.123173,16.16741818,30.27779091,1.123654545,83.62180909,9.4432,8.0193,1.426718182
MASK_Rock6_Right,Right,Rock,229.1166667,26.38643333,19.46619167,1.8,26.38643333,19.46619167,-1.11515,7.835025,13.41381667,12958.12128,2801.25585,30.788725,966.25725,357.3568083,1083.2603,15.45459167,27.40504167,1.014991667,78.373525,8.956141667,7.780725,1.360475
MASK_Rock7_Left,Left,Rock,147.3333333,16.359,17.93848649,1.8,16.359,17.93848649,-1.121747748,5.765594595,10.2125045,4697.489207,1096.080721,19.91215315,459.2435045,189.999955,534.6763333,12.25372973,21.49452252,1.10272973,57.92788288,7.774702703,6.927558559,0.956531532
MASK_Rock7_Right,Right,Rock,125.7747748,14.18581982,14.55559459,1.8,14.18581982,14.55559459,-1.035747748,5.571072072,9.868018018,3604.870613,803.2068108,15.51055856,364.6864775,144.4347658,424.6699099,11.42176577,20.48906306,0.971036036,55.56262162,7.06418018,6.165216216,1.029117117
MASK_Rock9_Left,Left,Rock,123.8141593,9.816106195,25.10860177,1.8,9.816106195,25.10860177,0.425088496,6.071522124,9.511079646,3146.035743,979.6423451,3.544389381,330.0382035,161.1930442,397.567646,12.28061062,19.15069027,2.506663717,56.23935398,7.10539823,6.013477876,1.11979646
MASK_Rock9_Right,Right,Rock,93.9380531,7.696911504,24.36554867,1.8,7.696920354,24.36555752,0.188734513,4.71839823,7.962017699,1871.989938,465.3280265,0.589486726,233.0388053,97.85147788,271.7774867,9.604831858,16.88907965,2.77720354,46.00436283,6.19119469,5.649893805,0.759566372
MASK_Rock_12_R3_s1-3,Left,Rock,178.2592593,22.35301852,12.51434259,1.8,22.35301852,12.51426852,-0.500712963,6.673601852,12.74091667,8895.56063,1572.82425,6.848,696.5513426,235.2336481,773.7416111,13.46039815,26.10517593,0.543888889,70.05447222,7.582574074,6.550574074,1.140074074
MASK_Rock_12_R3_s1-3,Right,Rock,176.7962963,18.98275,8.01787963,1.8,18.98275,8.01787963,-0.533037037,6.833166667,12.13290741,8468.345565,1755.447907,7.633388889,696.8578611,256.8788333,782.588787,13.77121296,25.15771296,0.501703704,70.37916667,7.283055556,6.419787037,0.990555556
MASK_Sand3_Left,Left,Sand,133.8372093,9.741093023,18.69412791,1.8,9.741093023,18.69412791,-0.034523256,5.417069767,9.782511628,3776.157791,966.652907,0.090567901,386.0196744,177.4470698,449.4904884,11.36984884,20.28553488,1.282639535,56.44048837,7.227604651,6.461848837,1.048813953
MASK_Sand3_Right,Right,Sand,125.5465116,9.68605814,19.60703488,1.8,9.68605814,19.60702326,0.052116279,5.675616279,8.898604651,3189.872384,972.6135814,0.161914634,357.9003953,170.751186,425.9638256,11.78702326,18.7199186,2.388360465,55.37568605,7.190732558,6.288418605,0.969383721
MASK_Sand4_Left,Left,Sand,171.43,24.03766,14.29834,1.8,24.03766,14.29834,-0.70662,6.51757,11.87644,7450.11026,1551.28384,12.05511,627.07658,236.6123,703.16176,13.35416,24.65318,0.66404,66.25173,7.80409,6.78243,1.11292
MASK_Sand4_Right,Right,Sand,154.4141414,19.27469697,8.398535354,1.8,19.27466667,8.398535354,-0.633242424,6.326313131,11.77476768,6523.700535,1191.166424,9.007949495,553.8605152,188.3264545,612.4304343,12.49420202,23.85216162,0.534575758,65.75864646,6.890272727,6.170828283,0.951090909
MASK_Sand_9_R3_s1-3,Left,Sand,145.27,9.18983,19.92971,1.8,9.18983,19.92971,0.54165,6.06715,10.5047,5156.65095,1161.27935,6.44592,490.04198,191.24113,555.73754,12.64231,22.00647,2.58641,60.85745,7.06381,6.1818,1.04101
MASK_Sand_9_R3_s1-3,Right,Sand,126.39,10.81419,17.447,1.8,10.81419,17.447,0.64484,5.35591,9.96444,3923.69354,781.15589,7.61526,392.24352,145.88611,448.15817,11.20821,20.9261,2.5374,56.05917,6.58841,5.89563,0.93144
MASK_Sand11_Left,Left,Sand,130.6666667,13.66784946,16.66913978,1.8,13.66784946,16.66913978,1.489602151,6.085333333,10.53272043,4516.323,1009.934237,21.60641935,429.0186559,165.7636774,472.1154409,11.99329032,21.55258065,1.710817204,60.97303226,6.810612903,5.713182796,1.120666667
MASK_Sand11_Right,Right,Sand,119.5483871,16.04310753,13.70346237,1.8,16.04310753,13.70346237,1.420215054,5.296623656,9.797860215,3812.121226,753.2173118,19.44675269,388.8016667,141.5333011,427.2905699,10.75117204,20.4024086,1.826537634,56.28816129,6.136967742,5.605580645,0.733387097
