"Variable","Group1","Group2","Observed_t","P_value_two_sided","P_value_BH"
"CSA_ratio","Rock","Pelagic",-0.836256217519765,0.425,0.531
"CSA_ratio","Rock","Sand",0.663420976896024,0.531,0.531
"CSA_ratio","Sand","Pelagic",-1.85448568406187,0.0798,0.2394
"Imax_ratio","Rock","Pelagic",-1.08427253542348,0.2954,0.4431
"Imax_ratio","Rock","Sand",0.565066100665754,0.5947,0.5947
"Imax_ratio","Sand","Pelagic",-1.8500732699888,0.0828,0.2484
