"Variable","Group1","Group2","Welch_t","df","P_value_two_sided","P_value_BH"
"CSA_ratio","Rock","Pelagic",-0.836256217519765,15.7679872466929,0.415504447182637,0.518706435122593
"CSA_ratio","Rock","Sand",0.663420976896024,12.9394286315396,0.518706435122593,0.518706435122593
"CSA_ratio","Sand","Pelagic",-1.85448568406187,16.0767529505414,0.0821054362121773,0.246316308636532
"Imax_ratio","Rock","Pelagic",-1.08427253542348,16.4562920536268,0.293874370288858,0.440811555433287
"Imax_ratio","Rock","Sand",0.565066100665754,14.9308698970849,0.580420712934833,0.580420712934833
"Imax_ratio","Sand","Pelagic",-1.8500732699888,16.8597242181177,0.0819091362914782,0.245727408874435
