"Variable","Group1","Group2","Welch_t","df","P_value_two_sided"
"Marginal_Ray_3_Measurement_2","Rock","Pelagic",-0.516309601191568,15.5440224671154,0.612904960563817
"Marginal_Ray_3_Measurement_2","Rock","Sand",-0.585973882395476,15.6847930000165,0.566230483247909
"Marginal_Ray_3_Measurement_2","Sand","Pelagic",0.072592219207149,22.2798382738748,0.942778371288946
"Marginal_Ray_3_Measurement_3","Rock","Pelagic",-0.498251077836204,15.6525556446811,0.625235127175446
"Marginal_Ray_3_Measurement_3","Rock","Sand",-0.669183094139045,15.2640083670823,0.513373808757811
"Marginal_Ray_3_Measurement_3","Sand","Pelagic",0.183998165154913,21.8922110903914,0.85570856079393
"Marginal_Ray_3_Measurement_4","Rock","Pelagic",-0.428085558476575,16.298761970886,0.674191943205269
"Marginal_Ray_3_Measurement_4","Rock","Sand",-0.694681503267654,15.5523148775445,0.497502680515915
"Marginal_Ray_3_Measurement_4","Sand","Pelagic",0.279251359030406,21.4464546651789,0.782727194714217
"Marginal_Ray_4_Measurement_1","Rock","Pelagic",-0.86447310249988,12.283948244609,0.403893608181277
"Marginal_Ray_4_Measurement_1","Rock","Sand",-1.48516896624493,11.7874282200039,0.163744795685886
"Marginal_Ray_4_Measurement_1","Sand","Pelagic",0.942113205603444,21.9824625755813,0.356373988011247
"Marginal_Ray_4_Measurement_2","Rock","Pelagic",-0.788325760626615,13.2115819501984,0.444421743754214
"Marginal_Ray_4_Measurement_2","Rock","Sand",-1.58341987742937,11.4236478864497,0.140600208138151
"Marginal_Ray_4_Measurement_2","Sand","Pelagic",1.11099724910015,20.1805697805619,0.279631613114069
"Marginal_Ray_4_Measurement_3","Rock","Pelagic",-0.779176825854403,13.4602190874174,0.449358496266615
"Marginal_Ray_4_Measurement_3","Rock","Sand",-1.65257071436722,11.5518824222875,0.125314676502251
"Marginal_Ray_4_Measurement_3","Sand","Pelagic",1.19747035151281,20.0709250116711,0.245074810590583
"Marginal_Ray_4_Measurement_4","Rock","Pelagic",-0.773674602314514,13.9570818636818,0.452029276960649
"Marginal_Ray_4_Measurement_4","Rock","Sand",-1.6938920201373,11.5842142316719,0.116974899028748
"Marginal_Ray_4_Measurement_4","Sand","Pelagic",1.20699056677343,19.4532677680169,0.241908190779026
"Marginal_Ray_5_Measurement_1","Rock","Pelagic",-0.874963157569036,12.3758118618739,0.398256771449076
"Marginal_Ray_5_Measurement_1","Rock","Sand",-1.57847238526685,11.3567621049887,0.141888040129527
"Marginal_Ray_5_Measurement_1","Sand","Pelagic",1.06156091343159,21.2407319251723,0.300356701492634
"Marginal_Ray_5_Measurement_2","Rock","Pelagic",-0.799434954939422,13.0211914452561,0.438378902829909
"Marginal_Ray_5_Measurement_2","Rock","Sand",-1.6754091315779,11.1206552849663,0.121712330551649
"Marginal_Ray_5_Measurement_2","Sand","Pelagic",1.25513482345842,19.8583889895868,0.223999797814199
"Marginal_Ray_5_Measurement_3","Rock","Pelagic",-0.819018531564407,12.9226794480909,0.427622307313721
"Marginal_Ray_5_Measurement_3","Rock","Sand",-1.81962026518747,10.9308003547455,0.0962850467999631
"Marginal_Ray_5_Measurement_3","Sand","Pelagic",1.45875564569388,19.5975334952019,0.160474661869307
"Marginal_Ray_5_Measurement_4","Rock","Pelagic",-0.773091116687502,13.8962923520691,0.452418922065232
"Marginal_Ray_5_Measurement_4","Rock","Sand",-1.91342298472191,10.9960980003533,0.0820725793684192
"Marginal_Ray_5_Measurement_4","Sand","Pelagic",1.52801704902345,18.3599353077493,0.14355343337224
